s_1,s_10,s_100,2011-06-01 12:30:30,1,10,100,100,100,100,100,s_1,s_10,s_100,2011-06-01 12:30:30,1,10,100,100,100,100,100
s_2,s_20,s_200,2011-06-01 12:30:30,2,20,200,200,200,200,200,s_2,s_20,s_200,2011-06-01 12:30:30,2,20,200,200,200,200,200
s_3,s_30,s_300,2011-06-01 12:30:30,3,30,300,300,300,300,300,s_3,s_30,s_300,2011-06-01 12:30:30,3,30,300,300,300,300,300
s_4,s_40,s_400,2011-06-01 12:30:30,4,40,400,400,400,400,400,s_4,s_40,s_400,2011-06-01 12:30:30,4,40,400,400,400,400,400
s_5,s_50,s_500,2011-06-01 12:30:30,5,50,500,500,500,500,500,s_5,s_50,s_500,2011-06-01 12:30:30,5,50,500,500,500,500,500
s_6,s_60,s_600,2011-06-01 12:30:30,6,60,600,600,600,600,600,s_6,s_60,s_600,2011-06-01 12:30:30,6,60,600,600,600,600,600
s_7,s_70,s_700,2011-06-01 12:30:30,7,70,700,700,700,700,700,s_7,s_70,s_700,2011-06-01 12:30:30,7,70,700,700,700,700,700
s_8,s_80,s_800,2011-06-01 12:30:30,8,80,800,800,800,800,800,s_8,s_80,s_800,2011-06-01 12:30:30,8,80,800,800,800,800,800
s_9,s_90,s_900,2011-06-01 12:30:30,9,90,900,900,900,900,900,s_9,s_90,s_900,2011-06-01 12:30:30,9,90,900,900,900,900,900
s_10,s_100,s_1000,2011-06-01 12:30:30,10,100,1000,1000,1000,1000,1000,s_10,s_100,s_1000,2011-06-01 12:30:30,10,100,1000,1000,1000,1000,1000
s_11,s_110,s_1100,2011-06-01 12:30:30,11,110,1100,1100,1100,1100,1100,s_11,s_110,s_1100,2011-06-01 12:30:30,11,110,1100,1100,1100,1100,1100
s_12,s_120,s_1200,2011-06-01 12:30:30,12,120,1200,1200,1200,1200,1200,s_12,s_120,s_1200,2011-06-01 12:30:30,12,120,1200,1200,1200,1200,1200
s_13,s_130,s_1300,2011-06-01 12:30:30,13,130,1300,1300,1300,1300,1300,s_13,s_130,s_1300,2011-06-01 12:30:30,13,130,1300,1300,1300,1300,1300
s_14,s_140,s_1400,2011-06-01 12:30:30,14,140,1400,1400,1400,1400,1400,s_14,s_140,s_1400,2011-06-01 12:30:30,14,140,1400,1400,1400,1400,1400
s_15,s_150,s_1500,2011-06-01 12:30:30,15,150,1500,1500,1500,1500,1500,s_15,s_150,s_1500,2011-06-01 12:30:30,15,150,1500,1500,1500,1500,1500
s_16,s_160,s_1600,2011-06-01 12:30:30,16,160,1600,1600,1600,1600,1600,s_16,s_160,s_1600,2011-06-01 12:30:30,16,160,1600,1600,1600,1600,1600
s_17,s_170,s_1700,2011-06-01 12:30:30,17,170,1700,1700,1700,1700,1700,s_17,s_170,s_1700,2011-06-01 12:30:30,17,170,1700,1700,1700,1700,1700
s_18,s_180,s_1800,2011-06-01 12:30:30,18,180,1800,1800,1800,1800,1800,s_18,s_180,s_1800,2011-06-01 12:30:30,18,180,1800,1800,1800,1800,1800
s_19,s_190,s_1900,2011-06-01 12:30:30,19,190,1900,1900,1900,1900,1900,s_19,s_190,s_1900,2011-06-01 12:30:30,19,190,1900,1900,1900,1900,1900
s_20,s_200,s_2000,2011-06-01 12:30:30,20,200,2000,2000,2000,2000,2000,s_20,s_200,s_2000,2011-06-01 12:30:30,20,200,2000,2000,2000,2000,2000
s_21,s_210,s_2100,2011-06-01 12:30:30,21,210,2100,2100,2100,2100,2100,s_21,s_210,s_2100,2011-06-01 12:30:30,21,210,2100,2100,2100,2100,2100
s_22,s_220,s_2200,2011-06-01 12:30:30,22,220,2200,2200,2200,2200,2200,s_22,s_220,s_2200,2011-06-01 12:30:30,22,220,2200,2200,2200,2200,2200
s_23,s_230,s_2300,2011-06-01 12:30:30,23,230,2300,2300,2300,2300,2300,s_23,s_230,s_2300,2011-06-01 12:30:30,23,230,2300,2300,2300,2300,2300
s_24,s_240,s_2400,2011-06-01 12:30:30,24,240,2400,2400,2400,2400,2400,s_24,s_240,s_2400,2011-06-01 12:30:30,24,240,2400,2400,2400,2400,2400
s_25,s_250,s_2500,2011-06-01 12:30:30,25,250,2500,2500,2500,2500,2500,s_25,s_250,s_2500,2011-06-01 12:30:30,25,250,2500,2500,2500,2500,2500
s_26,s_260,s_2600,2011-06-01 12:30:30,26,260,2600,2600,2600,2600,2600,s_26,s_260,s_2600,2011-06-01 12:30:30,26,260,2600,2600,2600,2600,2600
s_27,s_270,s_2700,2011-06-01 12:30:30,27,270,2700,2700,2700,2700,2700,s_27,s_270,s_2700,2011-06-01 12:30:30,27,270,2700,2700,2700,2700,2700
s_28,s_280,s_2800,2011-06-01 12:30:30,28,280,2800,2800,2800,2800,2800,s_28,s_280,s_2800,2011-06-01 12:30:30,28,280,2800,2800,2800,2800,2800
s_29,s_290,s_2900,2011-06-01 12:30:30,29,290,2900,2900,2900,2900,2900,s_29,s_290,s_2900,2011-06-01 12:30:30,29,290,2900,2900,2900,2900,2900
s_30,s_300,s_3000,2011-06-01 12:30:30,30,300,3000,3000,3000,3000,3000,s_30,s_300,s_3000,2011-06-01 12:30:30,30,300,3000,3000,3000,3000,3000
